category,file,codec,codec_profile,resolution,width,height,bitrate_mbps,nominal_fps,average_fps,pixel_format,possible_vfr,status,warning_count,trouble_score,severity,most_troubling,trouble_reason
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 23.mp4,h264,High,1024x576,1024,576,0.56,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 24.mp4,h264,High,1024x576,1024,576,0.76,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 25.mp4,h264,High,1024x576,1024,576,0.86,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S2 ep- 26.mp4,h264,High,1024x576,1024,576,0.54,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S3 ep- 1.mp4,h264,High,1024x576,1024,576,0.62,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S3 ep- 2.mp4,h264,High,1024x576,1024,576,0.62,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S3 ep- 3.mp4,h264,High,1024x576,1024,576,0.56,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S3 ep- 4.mp4,h264,High,1024x576,1024,576,0.73,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S3 ep- 5.mp4,h264,High,1024x576,1024,576,0.64,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S3 ep- 6.mp4,h264,High,1024x576,1024,576,0.77,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S3 ep- 7.mp4,h264,High,1024x576,1024,576,0.56,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S3 ep- 8.mp4,h264,High,1024x576,1024,576,0.61,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S3 ep- 9.mp4,h264,High,1024x576,1024,576,0.69,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S3 ep- 10.mp4,h264,High,1024x576,1024,576,0.7,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Batman Brave n Bold/Batman The Brave and Bold S3 ep- 11.mp4,h264,High,1024x576,1024,576,0.6,23.976,23.976,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
